origin,zone_115,zone_163,zone_167,zone_308,zone_381,zone_92,zone_174,zone_459,zone_103,zone_374,zone_1,zone_169,zone_346,zone_377,zone_9,zone_60,zone_104,zone_340,zone_393,zone_402,zone_148,zone_367,zone_416,zone_20,zone_48,zone_77,zone_147,zone_199,zone_432,zone_101,zone_130,zone_190,zone_206,zone_244,zone_268,zone_271,zone_324,zone_481,zone_152,zone_349,zone_390,zone_428,zone_457,zone_316,zone_378,zone_12,zone_52,zone_140,zone_212,zone_442,zone_154,zone_315,zone_463,zone_474,zone_484,zone_8,zone_241,zone_303,zone_122,zone_123,zone_160,zone_220,zone_274,zone_365,zone_225,zone_258,zone_292,zone_440,zone_341,zone_376,zone_18,zone_126,zone_25,zone_90,zone_105,zone_400,zone_404,zone_497,zone_251,zone_332,zone_310,zone_373,zone_259,zone_88,zone_263,zone_319,zone_388,zone_58,zone_79,zone_177,zone_269,zone_462,zone_131,zone_209,zone_233,zone_447,zone_453,zone_114,zone_243,zone_272,zone_335,zone_43,zone_97,zone_350,zone_28,zone_109,zone_342,zone_427,zone_461,zone_214,zone_224,zone_489,zone_157,zone_326,zone_426,zone_21,zone_85,zone_153,zone_273,zone_287,zone_299,zone_307,zone_36,zone_234,zone_348,zone_360,zone_386,zone_407,zone_477,zone_208,zone_138,zone_161,zone_223,zone_257,zone_4,zone_15,zone_175,zone_11,zone_119,zone_392,zone_415,zone_10,zone_261,zone_72,zone_172,zone_300,zone_37,zone_289,zone_328,zone_370,zone_455,zone_409,zone_468,zone_54,zone_184,zone_250,zone_336,zone_493,zone_82,zone_166,zone_196,zone_395,zone_173,zone_240,zone_134,zone_245,zone_281,zone_410,zone_439,zone_490,zone_187,zone_230,zone_358,zone_496,zone_343,zone_448,zone_450,zone_476,zone_46,zone_69,zone_116,zone_197,zone_325,zone_361,zone_417,zone_124,zone_290,zone_170,zone_108,zone_121,zone_162,zone_232,zone_282,zone_436,zone_16,zone_498,zone_339,zone_430,zone_39,zone_283,zone_309,zone_322,zone_397,zone_44,zone_55,zone_141,zone_67,zone_211,zone_216,zone_221,zone_285,zone_475,zone_62,zone_228,zone_294,zone_362,zone_422,zone_437,zone_491,zone_2,zone_45,zone_73,zone_311,zone_438,zone_487,zone_473,zone_482,zone_276,zone_295,zone_471,zone_499,zone_136,zone_194,zone_255,zone_31,zone_267,zone_279,zone_128,zone_171,zone_296,zone_375,zone_379,zone_186,zone_359,zone_14,zone_71,zone_137,zone_401,zone_403,zone_449,zone_252,zone_433,zone_488,zone_66,zone_86,zone_35,zone_226,zone_452,zone_356,zone_408,zone_99,zone_277,zone_38,zone_95,zone_203,zone_329,zone_412,zone_431,zone_434,zone_480,zone_3,zone_87,zone_338,zone_34,zone_478,zone_68,zone_151,zone_247,zone_384,zone_394,zone_414,zone_458,zone_323,zone_479,zone_466,zone_149,zone_249,zone_127,zone_142,zone_217,zone_235,zone_344,zone_219,zone_47,zone_107,zone_314,zone_59,zone_313,zone_464,zone_265,zone_312,zone_418,zone_64,zone_331,zone_91,zone_387,zone_32,zone_57,zone_63,zone_238,zone_380,zone_110,zone_293,zone_460,zone_98,zone_413,zone_483,zone_485,zone_29,zone_49,zone_129,zone_304,zone_383,zone_270,zone_445,zone_454,zone_182,zone_193,zone_40,zone_70,zone_364,zone_435,zone_286,zone_443,zone_366,zone_51,zone_236,zone_264,zone_354,zone_368,zone_385,zone_472,zone_41,zone_113,zone_100,zone_305,zone_139,zone_195,zone_200,zone_288,zone_291,zone_215,zone_158,zone_239,zone_317,zone_345,zone_27,zone_188,zone_399,zone_176,zone_7,zone_278,zone_396,zone_22,zone_406,zone_179,zone_357,zone_411,zone_102,zone_24,zone_165,zone_23,zone_467,zone_74,zone_253,zone_17,zone_180,zone_192,zone_266,zone_112,zone_446,zone_302,zone_118,zone_78,zone_84,zone_389,zone_451,zone_210,zone_33,zone_202,zone_198,zone_398,zone_96,zone_256,zone_337,zone_441,zone_421,zone_297,zone_275,zone_382,zone_333,zone_429,zone_369,zone_391,zone_26,zone_135,zone_260,zone_242,zone_6,zone_144,zone_419,zone_371,zone_183,zone_327,zone_444,zone_218,zone_456,zone_76,zone_185,zone_352,zone_204,zone_143,zone_334,zone_89,zone_80,zone_320,zone_248,zone_229,zone_423,zone_19,zone_237,zone_155,zone_178,zone_156,zone_30,zone_205,zone_42,zone_81,zone_231,zone_494,zone_5,zone_284,zone_189,zone_330,zone_353,zone_0,zone_120,zone_75,zone_111,zone_486,zone_83,zone_298,zone_420,zone_159,zone_351,zone_146,zone_106,zone_301,zone_405,zone_492,zone_65,zone_125,zone_145,zone_13,zone_262,zone_469,zone_117,zone_168,zone_164,zone_56,zone_132,zone_207,zone_321,zone_425,zone_93,zone_280,zone_150,zone_363,zone_227,zone_318,zone_222,zone_61,zone_355,zone_254,zone_246,zone_424,zone_53,zone_465,zone_495,zone_181,zone_306,zone_191,zone_213,zone_372,zone_94,zone_133
zone_12,5690.0,3213.0,4556.0,1394.0,2275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_382,,,,,,6196.0,5200.0,4948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_324,,,,,,,,,6805.0,5807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_384,,,,,,,,,,,1401.0,5663.0,1627.0,3082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_150,,,,,,,,,,,,,,,5748.0,5961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_50,,,,,,,,,,,5422.0,,,,,,7398.0,4263.0,5955.0,5813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_60,,,,,,,,,,,,,,,,,,,,,4410.0,5374.0,3161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_253,,,,,,,,,,,,,,,,,,,,,,,,8222.0,4336.0,3196.0,5695.0,5001.0,3127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5399.0,4027.0,5694.0,5565.0,6553.0,5026.0,6551.0,3956.0,7061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6177.0,2698.0,5692.0,2301.0,1367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
